id,Source,Destination,Route,Distance_in_km
1374,Kolkata,Banglore,CCU;DEL;AMD;BLR,"3,291.09"
1375,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1376,Kolkata,Banglore,CCU;BLR,"1,546.84"
1377,Kolkata,Banglore,CCU;BLR,"1,546.84"
1378,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1379,Chennai,Kolkata,MAA;CCU,"1,385.71"
1380,Chennai,Kolkata,MAA;CCU,"1,385.71"
1381,Kolkata,Banglore,CCU;BBI;BOM;BLR,"2,577.74"
1382,Banglore,Delhi,BLR;DEL,"1,710.05"
1383,Banglore,New Delhi,BLR;GOI;DEL,"1,987.18"
1384,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1385,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1386,Kolkata,Banglore,CCU;BLR,"1,546.84"
1387,Delhi,Cochin,DEL;TRV;COK,"2,427.56"
1388,Delhi,Cochin,DEL;AMD;COK,"2,248.45"
1389,Kolkata,Banglore,CCU;BLR,"1,546.84"
1390,Delhi,Cochin,DEL;JAI;BOM;COK,"2,206.84"
1391,Delhi,Cochin,DEL;JAI;BOM;COK,"2,206.84"
1392,Delhi,Cochin,DEL;MAA;COK,"2,278.53"
1393,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1394,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1395,Chennai,Kolkata,MAA;CCU,"1,385.71"
1396,Kolkata,Banglore,CCU;BBI;BOM;BLR,"2,577.74"
1397,Delhi,Cochin,DEL;MAA;COK,"2,278.53"
1398,Delhi,Cochin,DEL;BLR;COK,"2,077.31"
1399,Banglore,Delhi,BLR;DEL,"1,710.05"
1400,Delhi,Cochin,DEL;LKO;COK,"2,329.40"
1401,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1402,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1403,Kolkata,Banglore,CCU;BLR,"1,546.84"
1404,Banglore,Delhi,BLR;DEL,"1,710.05"
1405,Mumbai,Hyderabad,BOM;HYD,619.84
1406,Banglore,Delhi,BLR;DEL,"1,710.05"
1407,Banglore,Delhi,BLR;DEL,"1,710.05"
1408,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1409,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1410,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1411,Kolkata,Banglore,CCU;BLR,"1,546.84"
1412,Banglore,New Delhi,BLR;HYD;DEL,"1,723.47"
1413,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1414,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1415,Banglore,Delhi,BLR;DEL,"1,710.05"
1416,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1417,Mumbai,Hyderabad,BOM;HYD,619.84
1418,Mumbai,Hyderabad,BOM;AMD;ISK;HYD,"1,378.48"
1419,Delhi,Cochin,DEL;JAI;BOM;COK,"2,206.84"
1420,Delhi,Cochin,DEL;AMD;COK,"2,248.45"
1421,Banglore,Delhi,BLR;DEL,"1,710.05"
1422,Banglore,Delhi,BLR;DEL,"1,710.05"
1423,Banglore,Delhi,BLR;DEL,"1,710.05"
1424,Kolkata,Banglore,CCU;BLR,"1,546.84"
1425,Mumbai,Hyderabad,BOM;DED;DEL;HYD,"2,805.12"
1426,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1427,Mumbai,Hyderabad,BOM;HYD,619.84
1428,Banglore,Delhi,BLR;DEL,"1,710.05"
1429,Mumbai,Hyderabad,BOM;HYD,619.84
1430,Kolkata,Banglore,CCU;BLR,"1,546.84"
1431,Kolkata,Banglore,CCU;BLR,"1,546.84"
1432,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1433,Banglore,Delhi,BLR;DEL,"1,710.05"
1434,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1435,Banglore,Delhi,BLR;DEL,"1,710.05"
1436,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1437,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1438,Banglore,New Delhi,BLR;MAA;DEL,"2,028.62"
1439,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1440,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1441,Delhi,Cochin,DEL;LKO;BOM;COK,"2,670.87"
1442,Banglore,Delhi,BLR;DEL,"1,710.05"
1443,Delhi,Cochin,DEL;BHO;BOM;COK,"2,308.97"
1444,Delhi,Cochin,DEL;HYD;BOM;COK,"2,934.74"
1445,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1446,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1447,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1448,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1449,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1450,Kolkata,Banglore,CCU;BLR,"1,546.84"
1451,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1452,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1453,Chennai,Kolkata,MAA;CCU,"1,385.71"
1454,Delhi,Cochin,DEL;BLR;COK,"2,077.31"
1455,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1456,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1457,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1458,Banglore,Delhi,BLR;DEL,"1,710.05"
1459,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1460,Banglore,New Delhi,BLR;DEL,"1,710.05"
1461,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1462,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1463,Delhi,Cochin,DEL;PNQ;COK,"2,131.16"
1464,Banglore,Delhi,BLR;DEL,"1,710.05"
1465,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1466,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1467,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1468,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1469,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1470,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1471,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1472,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1473,Mumbai,Hyderabad,BOM;HYD,619.84
1474,Chennai,Kolkata,MAA;CCU,"1,385.71"
1475,Mumbai,Hyderabad,BOM;HYD,619.84
1476,Banglore,Delhi,BLR;DEL,"1,710.05"
1477,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1478,Mumbai,Hyderabad,BOM;HYD,619.84
1479,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1480,Delhi,Cochin,DEL;JAI;BOM;COK,"2,206.84"
1481,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1482,Kolkata,Banglore,CCU;GAU;DEL;BLR,"3,663.88"
1483,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1484,Chennai,Kolkata,MAA;CCU,"1,385.71"
1485,Delhi,Cochin,DEL;JDH;BOM;COK,"2,336.26"
1486,Delhi,Cochin,DEL;COK,"2,048.91"
1487,Delhi,Cochin,DEL;COK,"2,048.91"
1488,Banglore,Delhi,BLR;DEL,"1,710.05"
1489,Kolkata,Banglore,CCU;GAU;BLR,"2,537.70"
1490,Banglore,Delhi,BLR;DEL,"1,710.05"
1491,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1492,Banglore,Delhi,BLR;DEL,"1,710.05"
1493,Kolkata,Banglore,CCU;BOM;COK;BLR,"3,096.57"
1494,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1495,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1496,Kolkata,Banglore,CCU;DEL;COK;BLR,"3,728.85"
1497,Delhi,Cochin,DEL;NAG;BOM;COK,"2,600.30"
1498,Banglore,New Delhi,BLR;DEL,"1,710.05"
1499,Delhi,Cochin,DEL;BLR;COK,"2,077.31"
1500,Banglore,Delhi,BLR;DEL,"1,710.05"
1501,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1502,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1503,Delhi,Cochin,DEL;LKO;BOM;COK,"2,670.87"
1504,Chennai,Kolkata,MAA;CCU,"1,385.71"
1505,Banglore,Delhi,BLR;DEL,"1,710.05"
1506,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1507,Kolkata,Banglore,CCU;BLR,"1,546.84"
1508,Delhi,Cochin,DEL;AMD;BOM;COK,"2,264.49"
1509,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1510,Delhi,Cochin,DEL;AMD;BOM;COK,"2,264.49"
1511,Banglore,New Delhi,BLR;MAA;DEL,"2,028.62"
1512,Delhi,Cochin,DEL;MAA;COK,"2,278.53"
1513,Kolkata,Banglore,CCU;BLR,"1,546.84"
1514,Mumbai,Hyderabad,BOM;HYD,619.84
1515,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1516,Mumbai,Hyderabad,BOM;HYD,619.84
1517,Delhi,Cochin,DEL;BLR;COK,"2,077.31"
1518,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1519,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1520,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1521,Delhi,Cochin,DEL;GOI;BOM;COK,"2,992.86"
1522,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1523,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1524,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1525,Chennai,Kolkata,MAA;CCU,"1,385.71"
1526,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1527,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1528,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1529,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1530,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1531,Banglore,Delhi,BLR;DEL,"1,710.05"
1532,Banglore,Delhi,BLR;DEL,"1,710.05"
1533,Banglore,New Delhi,BLR;DEL,"1,710.05"
1534,Delhi,Cochin,DEL;NAG;BOM;COK,"2,600.30"
1535,Kolkata,Banglore,CCU;BLR,"1,546.84"
1536,Banglore,New Delhi,BLR;DEL,"1,710.05"
1537,Delhi,Cochin,DEL;JAI;BOM;COK,"2,206.84"
1538,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1539,Banglore,New Delhi,BLR;BOM;IDR;DEL,"2,002.98"
1540,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1541,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1542,Banglore,Delhi,BLR;DEL,"1,710.05"
1543,Mumbai,Hyderabad,BOM;HYD,619.84
1544,Delhi,Cochin,DEL;AMD;BOM;COK,"2,264.49"
1545,Chennai,Kolkata,MAA;CCU,"1,385.71"
1546,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1547,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1548,Banglore,Delhi,BLR;DEL,"1,710.05"
1549,Kolkata,Banglore,CCU;MAA;BLR,"1,653.46"
1550,Chennai,Kolkata,MAA;CCU,"1,385.71"
1551,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1552,Delhi,Cochin,DEL;IXC;BOM;COK,"2,647.25"
1553,Banglore,New Delhi,BLR;DEL,"1,710.05"
1554,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1555,Banglore,Delhi,BLR;DEL,"1,710.05"
1556,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1557,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1558,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1559,Kolkata,Banglore,CCU;PAT;BLR,"2,051.61"
1560,Delhi,Cochin,DEL;MAA;COK,"2,278.53"
1561,Delhi,Cochin,DEL;COK,"2,048.91"
1562,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1563,Banglore,New Delhi,BLR;CCU;BBI;DEL,"3,206.44"
1564,Kolkata,Banglore,CCU;HYD;BLR,"1,668.83"
1565,Kolkata,Banglore,CCU;BLR,"1,546.84"
1566,Delhi,Cochin,DEL;NAG;BOM;COK,"2,600.30"
1567,Delhi,Cochin,DEL;ATQ;BOM;COK,"2,894.29"
1568,Delhi,Cochin,DEL;MAA;COK,"2,278.53"
1569,Mumbai,Hyderabad,BOM;HYD,619.84
1570,Delhi,Cochin,DEL;BLR;COK,"2,077.31"
1571,Kolkata,Banglore,CCU;BLR,"1,546.84"
1572,Kolkata,Banglore,CCU;BBI;HYD;BLR,"1,691.67"
1573,Chennai,Kolkata,MAA;CCU,"1,385.71"
1574,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1575,Kolkata,Banglore,CCU;BBI;BLR,"1,547.57"
1576,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1577,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1578,Delhi,Cochin,DEL;HYD;BOM;COK,"2,934.74"
1579,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1580,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1581,Mumbai,Hyderabad,BOM;HYD,619.84
1582,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1583,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1584,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1585,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1586,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1587,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1588,Banglore,Delhi,BLR;DEL,"1,710.05"
1589,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1590,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1591,Mumbai,Hyderabad,BOM;HYD,619.84
1592,Kolkata,Banglore,CCU;VNS;DEL;BLR,"3,023.98"
1593,Banglore,Delhi,BLR;DEL,"1,710.05"
1594,Delhi,Cochin,DEL;JAI;BOM;COK,"2,206.84"
1595,Delhi,Cochin,DEL;BLR;COK,"2,077.31"
1596,Delhi,Cochin,DEL;MAA;COK,"2,278.53"
1597,Kolkata,Banglore,CCU;PNQ;BLR,"2,300.00"
1598,Banglore,New Delhi,BLR;DEL,"1,710.05"
1599,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1600,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1601,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1602,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1603,Delhi,Cochin,DEL;ATQ;BOM;COK,"2,894.29"
1604,Kolkata,Banglore,CCU;GAU;BLR,"2,537.70"
1605,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1606,Delhi,Cochin,DEL;HYD;MAA;COK,"2,290.76"
1607,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1608,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1609,Delhi,Cochin,DEL;GOI;BOM;COK,"2,992.86"
1610,Delhi,Cochin,DEL;COK,"2,048.91"
1611,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1612,Delhi,Cochin,DEL;CCU;BOM;COK,"4,041.99"
1613,Banglore,Delhi,BLR;DEL,"1,710.05"
1614,Mumbai,Hyderabad,BOM;HYD,619.84
1615,Delhi,Cochin,DEL;IDR;BOM;COK,"2,232.63"
1616,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1617,Delhi,Cochin,DEL;MAA;COK,"2,278.53"
1618,Banglore,Delhi,BLR;DEL,"1,710.05"
1619,Kolkata,Banglore,CCU;BLR,"1,546.84"
1620,Banglore,Delhi,BLR;DEL,"1,710.05"
1621,Banglore,Delhi,BLR;DEL,"1,710.05"
1622,Banglore,Delhi,BLR;DEL,"1,710.05"
1623,Banglore,Delhi,BLR;DEL,"1,710.05"
1624,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1625,Banglore,Delhi,BLR;DEL,"1,710.05"
1626,Delhi,Cochin,DEL;HYD;MAA;COK,"2,290.76"
1627,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1628,Kolkata,Banglore,CCU;GAU;BLR,"2,537.70"
1629,Delhi,Cochin,DEL;UDR;BOM;COK,"2,230.28"
1630,Banglore,New Delhi,BLR;BOM;NAG;DEL,"2,370.65"
1631,Chennai,Kolkata,MAA;CCU,"1,385.71"
1632,Banglore,Delhi,BLR;DEL,"1,710.05"
1633,Delhi,Cochin,DEL;BDQ;BOM;COK,"2,221.31"
1634,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1635,Delhi,Cochin,DEL;LKO;BOM;COK,"2,670.87"
1636,Banglore,Delhi,BLR;DEL,"1,710.05"
1637,Banglore,Delhi,BLR;DEL,"1,710.05"
1638,Banglore,Delhi,BLR;DEL,"1,710.05"
1639,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1640,Delhi,Cochin,DEL;AMD;BOM;COK,"2,264.49"
1641,Mumbai,Hyderabad,BOM;HYD,619.84
1642,Chennai,Kolkata,MAA;CCU,"1,385.71"
1643,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1644,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1645,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1646,Banglore,Delhi,BLR;DEL,"1,710.05"
1647,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1648,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1649,Banglore,Delhi,BLR;DEL,"1,710.05"
1650,Delhi,Cochin,DEL;AMD;COK,"2,248.45"
1651,Delhi,Cochin,DEL;AMD;BOM;COK,"2,264.49"
1652,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1653,Mumbai,Hyderabad,BOM;HYD,619.84
1654,Kolkata,Banglore,CCU;BLR,"1,546.84"
1655,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1656,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1657,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1658,Delhi,Cochin,DEL;AMD;BOM;COK,"2,264.49"
1659,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1660,Banglore,Delhi,BLR;DEL,"1,710.05"
1661,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1662,Banglore,Delhi,BLR;DEL,"1,710.05"
1663,Delhi,Cochin,DEL;AMD;COK,"2,248.45"
1664,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1665,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1666,Banglore,New Delhi,BLR;CCU;BBI;HYD;DEL,"4,017.23"
1667,Banglore,Delhi,BLR;DEL,"1,710.05"
1668,Delhi,Cochin,DEL;NAG;BOM;COK,"2,600.30"
1669,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1670,Kolkata,Banglore,CCU;BLR,"1,546.84"
1671,Kolkata,Banglore,CCU;BLR,"1,546.84"
1672,Chennai,Kolkata,MAA;CCU,"1,385.71"
1673,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1674,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1675,Banglore,New Delhi,BLR;DEL,"1,710.05"
1676,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1677,Delhi,Cochin,DEL;AMD;BOM;COK,"2,264.49"
1678,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1679,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1680,Delhi,Cochin,DEL;HYD;MAA;COK,"2,290.76"
1681,Kolkata,Banglore,CCU;BLR,"1,546.84"
1682,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1683,Delhi,Cochin,DEL;NAG;BOM;COK,"2,600.30"
1684,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1685,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1686,Delhi,Cochin,DEL;AMD;BOM;COK,"2,264.49"
1687,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1688,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1689,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1690,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1691,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1692,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1693,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1694,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1695,Kolkata,Banglore,CCU;BLR,"1,546.84"
1696,Delhi,Cochin,DEL;COK,"2,048.91"
1697,Delhi,Cochin,DEL;BLR;COK,"2,077.31"
1698,Kolkata,Banglore,CCU;MAA;BLR,"1,653.46"
1699,Banglore,Delhi,BLR;DEL,"1,710.05"
1700,Mumbai,Hyderabad,BOM;HYD,619.84
1701,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1702,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1703,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1704,Banglore,New Delhi,BLR;DEL,"1,710.05"
1705,Banglore,New Delhi,BLR;DEL,"1,710.05"
1706,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1707,Banglore,Delhi,BLR;DEL,"1,710.05"
1708,Kolkata,Banglore,CCU;BLR,"1,546.84"
1709,Delhi,Cochin,DEL;AMD;BOM;COK,"2,264.49"
1710,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1711,Kolkata,Banglore,CCU;BLR,"1,546.84"
1712,Delhi,Cochin,DEL;COK,"2,048.91"
1713,Banglore,New Delhi,BLR;CCU;GAU;DEL,"3,500.67"
1714,Mumbai,Hyderabad,BOM;DEL;HYD,"2,389.32"
1715,Kolkata,Banglore,CCU;GAU;BLR,"2,537.70"
1716,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1717,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1718,Kolkata,Banglore,CCU;BLR,"1,546.84"
1719,Mumbai,Hyderabad,BOM;HYD,619.84
1720,Chennai,Kolkata,MAA;CCU,"1,385.71"
1721,Banglore,New Delhi,BLR;LKO;DEL,"1,967.59"
1722,Banglore,New Delhi,BLR;GAU;DEL,"3,494.90"
1723,Kolkata,Banglore,CCU;DEL;COK;BLR,"3,728.85"
1724,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1725,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1726,Delhi,Cochin,DEL;MAA;COK,"2,278.53"
1727,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1728,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1729,Kolkata,Banglore,CCU;BLR,"1,546.84"
1730,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1731,Banglore,New Delhi,BLR;AMD;DEL,"1,978.41"
1732,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1733,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1734,Mumbai,Hyderabad,BOM;DEL;HYD,"2,389.32"
1735,Delhi,Cochin,DEL;MAA;COK,"2,278.53"
1736,Delhi,Cochin,DEL;BLR;COK,"2,077.31"
1737,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1738,Chennai,Kolkata,MAA;CCU,"1,385.71"
1739,Delhi,Cochin,DEL;BLR;COK,"2,077.31"
1740,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1741,Banglore,Delhi,BLR;DEL,"1,710.05"
1742,Mumbai,Hyderabad,BOM;HYD,619.84
1743,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1744,Banglore,Delhi,BLR;DEL,"1,710.05"
1745,Banglore,New Delhi,BLR;HYD;DEL,"1,723.47"
1746,Banglore,New Delhi,BLR;DEL,"1,710.05"
1747,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1748,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1749,Kolkata,Banglore,CCU;BLR,"1,546.84"
1750,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1751,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1752,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1753,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1754,Banglore,Delhi,BLR;DEL,"1,710.05"
1755,Kolkata,Banglore,CCU;IXR;DEL;BLR,"3,045.91"
1756,Banglore,Delhi,BLR;DEL,"1,710.05"
1757,Delhi,Cochin,DEL;HYD;MAA;COK,"2,290.76"
1758,Chennai,Kolkata,MAA;CCU,"1,385.71"
1759,Kolkata,Banglore,CCU;BLR,"1,546.84"
1760,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1761,Kolkata,Banglore,CCU;BLR,"1,546.84"
1762,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1763,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1764,Kolkata,Banglore,CCU;BLR,"1,546.84"
1765,Banglore,Delhi,BLR;DEL,"1,710.05"
1766,Kolkata,Banglore,CCU;HYD;BLR,"1,668.83"
1767,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1768,Delhi,Cochin,DEL;JAI;BOM;COK,"2,206.84"
1769,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1770,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1771,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1772,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1773,Banglore,Delhi,BLR;DEL,"1,710.05"
1774,Banglore,Delhi,BLR;DEL,"1,710.05"
1775,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1776,Delhi,Cochin,DEL;BHO;BOM;COK,"2,308.97"
1777,Delhi,Cochin,DEL;AMD;COK,"2,248.45"
1778,Kolkata,Banglore,CCU;BLR,"1,546.84"
1779,Banglore,New Delhi,BLR;DEL,"1,710.05"
1780,Delhi,Cochin,DEL;HYD;COK,"2,085.26"
1781,Delhi,Cochin,DEL;LKO;COK,"2,329.40"
1782,Chennai,Kolkata,MAA;CCU,"1,385.71"
1783,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1784,Mumbai,Hyderabad,BOM;HYD,619.84
1785,Mumbai,Hyderabad,BOM;BHO;DEL;HYD,"2,496.25"
1786,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1787,Delhi,Cochin,DEL;AMD;BOM;COK,"2,264.49"
1788,Banglore,Delhi,BLR;DEL,"1,710.05"
1789,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1790,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1791,Mumbai,Hyderabad,BOM;HYD,619.84
1792,Delhi,Cochin,DEL;CCU;BOM;COK,"4,041.99"
1793,Kolkata,Banglore,CCU;DEL;BLR,"3,022.73"
1794,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1795,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1796,Delhi,Cochin,DEL;JAI;BOM;COK,"2,206.84"
1797,Mumbai,Hyderabad,BOM;HYD,619.84
1798,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1799,Kolkata,Banglore,CCU;PNQ;BLR,"2,300.00"
1800,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1801,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
1802,Delhi,Cochin,DEL;MAA;COK,"2,278.53"
1803,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
1804,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
1805,Delhi,Cochin,DEL;AMD;BOM;COK,"2,264.49"
1806,Kolkata,Banglore,CCU;GAU;BLR,"2,537.70"
