id,Airline,Source,Destination,Date_of_Journey,Dep_Time,Duration,Total_Stops,Additional_Info,Price_in_Euro
1698,IndiGo,Kolkata,Banglore,9/06/2019,08:10,4h 50m,1 stop,No info,55.759
1699,GoAir,Banglore,Delhi,6/06/2019,07:45,2h 55m,non-stop,No info,42.878
1700,IndiGo,Mumbai,Hyderabad,6/06/2019,12:00,1h 30m,non-stop,No info,30.294
1701,Multiple carriers,Delhi,Cochin,27/05/2019,15:00,10h 30m,1 stop,In-flight meal not included,76.373
1702,Jet Airways,Kolkata,Banglore,18/05/2019,05:45,12h 30m,1 stop,No info,162.591
1703,Jet Airways,Delhi,Cochin,21/05/2019,13:00,6h,1 stop,No info,176.869
1704,IndiGo,Banglore,New Delhi,15/03/2019,16:55,2h 50m,non-stop,No info,88.363
1705,IndiGo,Banglore,New Delhi,09/03/2019,18:25,2h 55m,non-stop,No info,75.46
1706,Multiple carriers,Delhi,Cochin,27/03/2019,11:40,7h 35m,1 stop,No info,76.483
1707,IndiGo,Banglore,Delhi,12/05/2019,07:10,2h 55m,non-stop,No info,53.053
1708,IndiGo,Kolkata,Banglore,9/04/2019,04:40,2h 35m,non-stop,No info,45.914
1709,Jet Airways,Delhi,Cochin,27/06/2019,13:25,29h 35m,2 stops,No info,141.009
1710,Jet Airways,Kolkata,Banglore,15/05/2019,21:10,7h 30m,1 stop,In-flight meal not included,106.293
1711,SpiceJet,Kolkata,Banglore,3/05/2019,06:55,2h 35m,non-stop,No check-in baggage included,42.251
1712,IndiGo,Delhi,Cochin,27/06/2019,05:35,3h 15m,non-stop,No info,55.0
1713,Air India,Banglore,New Delhi,01/03/2019,05:50,16h 20m,2 stops,Change airports,147.026
1714,Vistara,Mumbai,Hyderabad,6/03/2019,21:55,18h 50m,1 stop,No info,136.345
1715,Air India,Kolkata,Banglore,15/05/2019,16:45,28h 20m,1 stop,No info,81.972
1716,Jet Airways,Delhi,Cochin,18/05/2019,19:45,23h 15m,1 stop,No info,171.094
1717,Jet Airways,Kolkata,Banglore,6/05/2019,17:00,22h 5m,1 stop,No info,143.737
1718,IndiGo,Kolkata,Banglore,1/03/2019,15:10,2h 35m,non-stop,No info,72.215
1719,SpiceJet,Mumbai,Hyderabad,24/05/2019,05:45,1h 30m,non-stop,No check-in baggage included,21.615
1720,SpiceJet,Chennai,Kolkata,27/03/2019,09:30,2h 35m,non-stop,No check-in baggage included,36.652
1721,IndiGo,Banglore,New Delhi,21/03/2019,05:25,4h 45m,1 stop,No info,68.288
1722,Air India,Banglore,New Delhi,18/03/2019,13:50,28h 50m,1 stop,No info,122.771
1723,Air India,Kolkata,Banglore,12/06/2019,10:00,27h 45m,2 stops,No info,134.464
1724,Jet Airways,Kolkata,Banglore,1/05/2019,18:55,17h 5m,1 stop,In-flight meal not included,106.293
1725,Jet Airways,Banglore,New Delhi,18/03/2019,08:55,6h 20m,1 stop,No info,135.124
1726,Air India,Delhi,Cochin,27/05/2019,17:20,16h 5m,1 stop,No info,82.28
1727,Jet Airways,Delhi,Cochin,6/03/2019,19:15,9h 10m,1 stop,No info,187.264
1728,Jet Airways,Kolkata,Banglore,6/06/2019,20:25,22h 45m,1 stop,No info,155.661
1729,IndiGo,Kolkata,Banglore,21/06/2019,17:15,2h 35m,non-stop,No info,52.844
1730,IndiGo,Delhi,Cochin,18/05/2019,16:00,5h,1 stop,No info,66.759
1731,Vistara,Banglore,New Delhi,21/03/2019,06:40,15h 15m,1 stop,No info,66.715
1732,Jet Airways,Kolkata,Banglore,18/05/2019,20:25,13h 20m,1 stop,No info,155.661
1733,Jet Airways,Kolkata,Banglore,24/03/2019,18:55,17h 5m,1 stop,No info,156.541
1734,Vistara,Mumbai,Hyderabad,6/03/2019,15:40,17h 45m,1 stop,No info,136.345
1735,IndiGo,Delhi,Cochin,24/04/2019,02:00,5h 25m,1 stop,No info,61.996
1736,Air India,Delhi,Cochin,6/04/2019,17:40,5h 20m,1 stop,No info,57.552
1737,Jet Airways,Delhi,Cochin,1/06/2019,14:00,14h 25m,1 stop,No info,161.854
1738,IndiGo,Chennai,Kolkata,6/05/2019,07:55,2h 20m,non-stop,No info,42.35
1739,Air India,Delhi,Cochin,27/05/2019,17:40,15h 55m,1 stop,No info,79.838
1740,Jet Airways,Banglore,New Delhi,06/03/2019,21:25,22h 55m,1 stop,No info,192.181
1741,SpiceJet,Banglore,Delhi,9/05/2019,21:10,2h 55m,non-stop,No info,48.653
1742,IndiGo,Mumbai,Hyderabad,18/06/2019,21:20,1h 30m,non-stop,No info,24.497
1743,Multiple carriers,Delhi,Cochin,24/06/2019,10:00,15h 30m,1 stop,No info,147.147
1744,Jet Airways,Banglore,Delhi,12/06/2019,08:20,3h,non-stop,No info,88.176
1745,Air India,Banglore,New Delhi,09/03/2019,06:50,26h,1 stop,No info,61.886
1746,IndiGo,Banglore,New Delhi,21/03/2019,16:55,2h 50m,non-stop,No info,75.46
1747,IndiGo,Delhi,Cochin,1/06/2019,18:35,6h 55m,1 stop,No info,72.908
1748,Jet Airways,Delhi,Cochin,6/06/2019,13:00,23h 35m,1 stop,In-flight meal not included,127.897
1749,SpiceJet,Kolkata,Banglore,9/06/2019,17:10,2h 30m,non-stop,No info,45.914
1750,Jet Airways,Delhi,Cochin,1/06/2019,18:15,10h 10m,1 stop,No info,161.854
1751,Jet Airways,Kolkata,Banglore,12/05/2019,09:35,11h 30m,1 stop,No info,155.661
1752,Jet Airways,Delhi,Cochin,27/05/2019,16:00,27h,1 stop,In-flight meal not included,141.878
1753,Jet Airways,Delhi,Cochin,18/05/2019,21:50,6h 35m,1 stop,In-flight meal not included,136.103
1754,IndiGo,Banglore,Delhi,18/06/2019,10:10,2h 50m,non-stop,No info,43.373
1755,Air Asia,Kolkata,Banglore,9/06/2019,15:10,8h 20m,2 stops,No info,86.57
1756,Jet Airways,Banglore,Delhi,18/06/2019,18:55,3h 5m,non-stop,No info,88.176
1757,Air India,Delhi,Cochin,15/05/2019,13:05,20h 20m,2 stops,No info,120.725
1758,IndiGo,Chennai,Kolkata,27/05/2019,07:55,2h 20m,non-stop,No info,42.35
1759,IndiGo,Kolkata,Banglore,18/06/2019,20:25,2h 45m,non-stop,No info,52.844
1760,Jet Airways,Delhi,Cochin,9/03/2019,20:50,7h 35m,1 stop,No info,171.094
1761,SpiceJet,Kolkata,Banglore,18/03/2019,06:55,2h 40m,non-stop,No info,49.115
1762,Jet Airways,Kolkata,Banglore,9/06/2019,21:10,12h 55m,1 stop,In-flight meal not included,130.251
1763,Multiple carriers,Delhi,Cochin,9/03/2019,08:00,11h 15m,1 stop,No info,212.652
1764,SpiceJet,Kolkata,Banglore,21/06/2019,17:10,2h 30m,non-stop,No check-in baggage included,42.251
1765,IndiGo,Banglore,Delhi,12/04/2019,10:10,2h 50m,non-stop,No info,50.501
1766,IndiGo,Kolkata,Banglore,24/05/2019,15:15,4h 50m,1 stop,No info,57.112
1767,Jet Airways,Delhi,Cochin,9/06/2019,18:15,18h 20m,1 stop,In-flight meal not included,116.347
1768,Jet Airways,Delhi,Cochin,18/05/2019,19:30,8h 55m,2 stops,No info,166.419
1769,Multiple carriers,Delhi,Cochin,6/06/2019,06:00,13h,1 stop,No info,129.679
1770,Air India,Delhi,Cochin,15/06/2019,21:00,10h 40m,1 stop,No info,92.092
1771,Multiple carriers,Delhi,Cochin,9/05/2019,06:00,13h 15m,1 stop,No info,90.926
1772,Jet Airways,Kolkata,Banglore,6/05/2019,06:30,13h 20m,1 stop,No info,162.591
1773,Vistara,Banglore,Delhi,21/04/2019,17:00,2h 35m,non-stop,No info,61.743
1774,Jet Airways,Banglore,Delhi,24/04/2019,15:15,2h 55m,non-stop,No info,79.519
1775,IndiGo,Delhi,Cochin,24/06/2019,08:30,12h 30m,1 stop,No info,67.023
1776,Jet Airways,Delhi,Cochin,21/05/2019,05:30,7h 5m,2 stops,In-flight meal not included,170.984
1777,GoAir,Delhi,Cochin,18/05/2019,07:25,6h 10m,1 stop,No info,69.256
1778,IndiGo,Kolkata,Banglore,27/04/2019,09:35,2h 45m,non-stop,No info,52.844
1779,Air Asia,Banglore,New Delhi,18/03/2019,05:50,2h 50m,non-stop,No info,47.124
1780,IndiGo,Delhi,Cochin,21/03/2019,07:35,14h 45m,1 stop,No info,72.138
1781,IndiGo,Delhi,Cochin,24/06/2019,21:50,5h 45m,1 stop,No info,63.525
1782,SpiceJet,Chennai,Kolkata,21/06/2019,08:20,2h 15m,non-stop,No check-in baggage included,38.973
1783,Jet Airways,Delhi,Cochin,6/03/2019,09:55,8h 55m,1 stop,No info,187.264
1784,Jet Airways,Mumbai,Hyderabad,9/06/2019,07:05,1h 25m,non-stop,In-flight meal not included,44.55
1785,Air India,Mumbai,Hyderabad,6/03/2019,06:00,33h 15m,2 stops,No info,156.409
1786,Jet Airways,Banglore,New Delhi,01/03/2019,11:40,6h 45m,1 stop,No info,295.79
1787,Air India,Delhi,Cochin,15/06/2019,19:45,23h 30m,2 stops,No info,106.183
1788,IndiGo,Banglore,Delhi,21/06/2019,06:05,2h 45m,non-stop,No info,43.373
1789,Jet Airways,Kolkata,Banglore,18/05/2019,14:05,26h 15m,1 stop,In-flight meal not included,119.284
1790,Jet Airways,Kolkata,Banglore,1/04/2019,21:10,7h 30m,1 stop,In-flight meal not included,97.339
1791,IndiGo,Mumbai,Hyderabad,12/06/2019,01:40,1h 30m,non-stop,No info,30.294
1792,Air India,Delhi,Cochin,21/03/2019,06:50,36h 25m,2 stops,No info,118.316
1793,Jet Airways,Kolkata,Banglore,21/05/2019,17:00,28h 5m,1 stop,No info,155.661
1794,Jet Airways,Kolkata,Banglore,12/06/2019,08:25,12h 20m,1 stop,In-flight meal not included,108.889
1795,Jet Airways,Delhi,Cochin,21/03/2019,22:00,6h 25m,1 stop,No info,134.662
1796,Jet Airways,Delhi,Cochin,9/06/2019,19:30,17h 5m,2 stops,In-flight meal not included,114.048
1797,IndiGo,Mumbai,Hyderabad,24/05/2019,09:10,1h 30m,non-stop,No info,63.305
1798,Jet Airways,Delhi,Cochin,15/06/2019,18:15,10h 10m,1 stop,In-flight meal not included,112.882
1799,SpiceJet,Kolkata,Banglore,6/06/2019,08:35,8h 40m,1 stop,No info,73.073
1800,Multiple carriers Premium economy,Delhi,Cochin,21/03/2019,07:30,13h 30m,1 stop,No info,108.295
1801,Jet Airways,Kolkata,Banglore,24/03/2019,18:55,17h 5m,1 stop,In-flight meal not included,122.474
1802,SpiceJet,Delhi,Cochin,1/06/2019,06:05,5h 15m,1 stop,No info,61.413
1803,IndiGo,Delhi,Cochin,15/05/2019,16:00,5h,1 stop,No info,66.759
1804,Jet Airways,Banglore,New Delhi,12/03/2019,05:45,14h 35m,1 stop,No info,151.987
1805,Air India,Delhi,Cochin,6/03/2019,05:00,38h 15m,2 stops,No info,113.113
1806,Air India,Kolkata,Banglore,24/03/2019,09:50,11h 15m,1 stop,No info,85.745
1807,Multiple carriers,Delhi,Cochin,9/03/2019,00:20,7h 20m,1 stop,In-flight meal not included,153.747
1808,Jet Airways,Delhi,Cochin,1/06/2019,06:45,21h 40m,2 stops,In-flight meal not included,120.109
1809,IndiGo,Kolkata,Banglore,3/03/2019,20:25,2h 40m,non-stop,No info,66.418
1810,IndiGo,Delhi,Cochin,21/05/2019,05:35,3h 15m,non-stop,No info,61.611
1811,IndiGo,Delhi,Cochin,9/03/2019,07:30,13h 30m,1 stop,No info,135.861
1812,Air India,Delhi,Cochin,15/04/2019,05:10,2h 50m,non-stop,No info,67.034
1813,Multiple carriers,Delhi,Cochin,15/05/2019,10:35,8h 40m,1 stop,No info,83.325
1814,Jet Airways,Delhi,Cochin,27/05/2019,21:50,6h 35m,1 stop,No info,176.869
1815,Jet Airways,Delhi,Cochin,15/06/2019,19:15,23h 45m,1 stop,In-flight meal not included,112.882
1816,Air Asia,Delhi,Cochin,9/06/2019,16:45,5h 40m,1 stop,No info,148.17
1817,Jet Airways,Banglore,Delhi,27/06/2019,11:10,2h 55m,non-stop,No info,88.176
1818,Jet Airways,Delhi,Cochin,9/03/2019,18:15,24h 35m,1 stop,No info,179.179
1819,Jet Airways,Delhi,Cochin,6/06/2019,19:45,8h 40m,1 stop,In-flight meal not included,112.882
1820,IndiGo,Banglore,Delhi,27/06/2019,18:25,2h 55m,non-stop,No info,53.053
1821,Vistara,Banglore,Delhi,9/04/2019,09:45,2h 50m,non-stop,No info,59.433
1822,Jet Airways,Delhi,Cochin,18/05/2019,17:30,25h 30m,1 stop,In-flight meal not included,136.103
1823,SpiceJet,Mumbai,Hyderabad,6/03/2019,14:10,8h 15m,1 stop,No info,149.072
1824,Jet Airways,Kolkata,Banglore,9/05/2019,08:25,12h 20m,1 stop,In-flight meal not included,119.284
1825,Air India,Mumbai,Hyderabad,6/03/2019,09:40,14h 5m,2 stops,No info,248.809
1826,Multiple carriers,Delhi,Cochin,27/05/2019,10:35,8h 40m,1 stop,No info,94.875
1827,IndiGo,Banglore,New Delhi,24/03/2019,06:00,2h 45m,non-stop,No info,52.547
1828,IndiGo,Delhi,Cochin,21/06/2019,05:35,3h 15m,non-stop,No info,55.0
1829,Jet Airways,Delhi,Cochin,6/03/2019,19:10,24h 35m,2 stops,No info,241.494
1830,Jet Airways,Delhi,Cochin,3/06/2019,11:30,16h 55m,1 stop,In-flight meal not included,127.897
1831,Jet Airways,Kolkata,Banglore,24/05/2019,14:05,14h 35m,1 stop,No info,151.041
1832,IndiGo,Banglore,Delhi,3/04/2019,22:10,2h 50m,non-stop,No info,43.373
1833,Jet Airways,Banglore,New Delhi,21/03/2019,08:55,14h 5m,1 stop,In-flight meal not included,76.912
1834,Jet Airways,Kolkata,Banglore,6/05/2019,18:55,9h 45m,1 stop,No info,153.351
1835,Jet Airways,Delhi,Cochin,12/06/2019,08:00,11h,1 stop,No info,164.164
1836,Jet Airways,Delhi,Cochin,27/06/2019,02:15,10h 20m,1 stop,No info,202.081
1837,IndiGo,Chennai,Kolkata,3/03/2019,19:35,2h 20m,non-stop,No info,80.245
1838,Air India,Banglore,New Delhi,09/03/2019,17:00,23h 40m,1 stop,No info,102.212
1839,Jet Airways,Kolkata,Banglore,1/05/2019,20:00,12h 15m,1 stop,No info,153.351
1840,IndiGo,Kolkata,Banglore,24/03/2019,04:15,5h 35m,1 stop,No info,45.65
1841,Jet Airways,Kolkata,Banglore,1/04/2019,20:00,27h 35m,1 stop,No info,139.491
1842,IndiGo,Delhi,Cochin,3/06/2019,05:35,3h 15m,non-stop,No info,61.611
1843,Air India,Kolkata,Banglore,21/05/2019,09:50,23h 5m,2 stops,No info,164.56
1844,Multiple carriers,Delhi,Cochin,6/06/2019,16:00,9h 30m,1 stop,No info,147.147
1845,IndiGo,Mumbai,Hyderabad,21/03/2019,12:00,1h 25m,non-stop,No info,36.762
1846,Jet Airways,Banglore,Delhi,6/06/2019,11:10,2h 55m,non-stop,No info,88.176
1847,Jet Airways,Banglore,New Delhi,06/03/2019,05:45,17h 15m,1 stop,No info,184.096
1848,Jet Airways,Kolkata,Banglore,24/03/2019,21:10,22h 30m,1 stop,In-flight meal not included,110.341
1849,Air India,Delhi,Cochin,21/04/2019,20:30,11h 45m,1 stop,No info,79.838
1850,Jet Airways,Banglore,Delhi,15/05/2019,06:00,2h 45m,non-stop,In-flight meal not included,44.33
1851,Air India,Delhi,Cochin,24/06/2019,14:25,28h 50m,2 stops,No info,147.191
1852,Jet Airways,Delhi,Cochin,24/05/2019,23:05,29h 20m,2 stops,No info,183.744
1853,Multiple carriers,Delhi,Cochin,24/06/2019,09:00,12h,1 stop,No info,149.457
1854,Jet Airways,Mumbai,Hyderabad,24/05/2019,02:55,1h 25m,non-stop,No info,62.458
1855,Jet Airways,Kolkata,Banglore,1/04/2019,06:30,26h 50m,1 stop,In-flight meal not included,77.704
1856,IndiGo,Mumbai,Hyderabad,3/06/2019,01:40,1h 30m,non-stop,No info,30.294
1857,Vistara,Banglore,Delhi,1/05/2019,09:45,2h 50m,non-stop,No info,51.348
1858,Air Asia,Kolkata,Banglore,21/06/2019,19:55,2h 30m,non-stop,No info,45.177
1859,IndiGo,Delhi,Cochin,12/06/2019,04:55,16h 5m,1 stop,No info,64.834
1860,Jet Airways,Delhi,Cochin,6/06/2019,17:30,10h 55m,1 stop,In-flight meal not included,112.882
1861,Jet Airways,Kolkata,Banglore,9/05/2019,16:30,15h 45m,1 stop,No info,153.351
1862,Air Asia,Delhi,Cochin,27/04/2019,16:45,14h 25m,1 stop,No info,70.961
1863,Air India,Delhi,Cochin,27/06/2019,09:45,23h 40m,2 stops,No info,120.725
1864,Air India,Delhi,Cochin,6/03/2019,12:00,19h 40m,2 stops,No info,162.206
1865,Air Asia,Delhi,Cochin,6/06/2019,20:45,10h 25m,1 stop,No info,125.51
1866,SpiceJet,Kolkata,Banglore,1/05/2019,06:55,2h 35m,non-stop,No check-in baggage included,42.251
1867,Air India,Delhi,Cochin,3/06/2019,06:50,24h 50m,2 stops,No info,147.191
1868,Multiple carriers,Delhi,Cochin,9/05/2019,11:30,14h,1 stop,No info,165.858
1869,Air India,Kolkata,Banglore,9/05/2019,09:25,9h 5m,1 stop,No info,97.801
1870,Jet Airways,Kolkata,Banglore,9/05/2019,14:05,20h,1 stop,In-flight meal not included,85.327
1871,Air India,Banglore,Delhi,9/04/2019,05:45,3h,non-stop,No info,48.851
1872,Jet Airways,Kolkata,Banglore,24/03/2019,19:45,22h 25m,1 stop,In-flight meal not included,110.341
1873,IndiGo,Banglore,Delhi,12/04/2019,13:00,2h 50m,non-stop,No info,53.053
1874,Air India,Kolkata,Banglore,24/05/2019,09:25,9h 5m,1 stop,No info,94.336
1875,Jet Airways,Banglore,New Delhi,12/03/2019,20:35,19h 35m,1 stop,In-flight meal not included,121.957
1876,Jet Airways,Delhi,Cochin,18/05/2019,10:00,26h 35m,1 stop,In-flight meal not included,136.103
1877,Air India,Kolkata,Banglore,21/05/2019,09:25,20h 10m,2 stops,No info,125.752
1878,IndiGo,Mumbai,Hyderabad,15/06/2019,16:55,1h 30m,non-stop,No info,34.925
1879,IndiGo,Kolkata,Banglore,12/05/2019,09:35,2h 45m,non-stop,No info,52.844
1880,Jet Airways,Delhi,Cochin,27/06/2019,09:40,26h 55m,2 stops,No info,143.154
1881,Multiple carriers,Delhi,Cochin,6/03/2019,07:10,15h 10m,1 stop,In-flight meal not included,83.193
1882,SpiceJet,Kolkata,Banglore,27/06/2019,09:00,2h 25m,non-stop,No info,42.603
1883,IndiGo,Delhi,Cochin,21/05/2019,11:55,13h,1 stop,No info,69.102
1884,Multiple carriers,Delhi,Cochin,1/06/2019,08:30,10h 30m,1 stop,No info,123.2
1885,Vistara,Banglore,Delhi,24/04/2019,19:30,2h 45m,non-stop,No info,61.743
1886,IndiGo,Delhi,Cochin,9/06/2019,14:20,3h 15m,non-stop,No info,61.611
1887,Jet Airways,Delhi,Cochin,15/06/2019,14:00,22h 35m,1 stop,In-flight meal not included,112.882
1888,IndiGo,Banglore,New Delhi,01/03/2019,20:00,2h 55m,non-stop,No info,157.366
1889,Jet Airways,Kolkata,Banglore,1/04/2019,20:00,24h 45m,1 stop,In-flight meal not included,77.704
1890,Jet Airways,Delhi,Cochin,27/06/2019,07:05,11h 55m,1 stop,No info,202.081
1891,Air India,Delhi,Cochin,18/05/2019,20:15,23h,2 stops,No info,149.501
1892,Jet Airways,Delhi,Cochin,1/06/2019,09:40,26h 55m,2 stops,In-flight meal not included,114.048
1893,Multiple carriers,Delhi,Cochin,12/06/2019,17:50,7h 40m,2 stops,No info,201.025
1894,IndiGo,Banglore,Delhi,27/05/2019,22:10,2h 50m,non-stop,No info,41.239
1895,Air Asia,Kolkata,Banglore,6/06/2019,15:10,8h 20m,2 stops,No info,74.91
1896,Multiple carriers,Delhi,Cochin,21/05/2019,11:40,9h 20m,1 stop,No info,82.335
1897,Air India,Kolkata,Banglore,27/05/2019,14:15,2h 30m,non-stop,No info,60.61
1898,Jet Airways,Delhi,Cochin,3/06/2019,18:15,10h 10m,1 stop,In-flight meal not included,112.882
1899,Multiple carriers,Delhi,Cochin,24/06/2019,07:10,9h,1 stop,No info,73.953
1900,Multiple carriers,Delhi,Cochin,21/03/2019,08:00,7h 30m,1 stop,No info,91.377
1901,GoAir,Delhi,Cochin,21/04/2019,05:55,7h 40m,1 stop,No info,67.606
1902,Jet Airways,Delhi,Cochin,27/05/2019,13:25,23h 10m,2 stops,No info,166.419
1903,Jet Airways,Kolkata,Banglore,1/05/2019,06:30,5h 30m,1 stop,No info,158.268
1904,Jet Airways,Banglore,Delhi,6/04/2019,06:00,2h 45m,non-stop,In-flight meal not included,49.984
1905,Jet Airways,Banglore,Delhi,12/04/2019,11:10,2h 55m,non-stop,In-flight meal not included,57.178
1906,IndiGo,Delhi,Cochin,18/05/2019,09:15,16h 15m,1 stop,No info,82.533
1907,GoAir,Banglore,New Delhi,01/03/2019,15:45,4h 30m,1 stop,No info,135.454
1908,Air India,Delhi,Cochin,15/05/2019,13:00,6h 15m,1 stop,No info,92.092
1909,Jet Airways,Kolkata,Banglore,21/05/2019,16:30,7h 5m,1 stop,No info,162.591
1910,Jet Airways,Banglore,Delhi,24/06/2019,19:50,3h,non-stop,No info,88.176
1911,IndiGo,Chennai,Kolkata,12/03/2019,07:55,2h 20m,non-stop,No info,69.267
1912,Jet Airways,Kolkata,Banglore,1/05/2019,08:25,24h 55m,1 stop,No info,158.268
1913,GoAir,Delhi,Cochin,1/06/2019,07:25,6h 10m,1 stop,No info,70.323
1914,Jet Airways,Kolkata,Banglore,9/06/2019,21:10,12h 55m,1 stop,No info,164.329
1915,Jet Airways,Kolkata,Banglore,21/05/2019,08:25,11h 25m,1 stop,No info,162.591
1916,IndiGo,Delhi,Cochin,6/03/2019,07:30,13h 30m,1 stop,No info,163.581
1917,SpiceJet,Banglore,Delhi,6/04/2019,09:30,2h 50m,non-stop,No check-in baggage included,47.509
1918,Jet Airways,Kolkata,Banglore,15/05/2019,17:00,16h 45m,1 stop,No info,143.737
1919,Jet Airways,Banglore,New Delhi,01/03/2019,16:55,15h 20m,1 stop,No info,295.79
1920,Jet Airways,Banglore,New Delhi,15/03/2019,07:00,6h 15m,1 stop,In-flight meal not included,100.474
1921,IndiGo,Banglore,Delhi,3/04/2019,21:15,3h,non-stop,No info,43.373
1922,Air India,Delhi,Cochin,24/06/2019,07:00,12h 15m,1 stop,No info,97.669
1923,Jet Airways,Kolkata,Banglore,24/05/2019,18:55,17h 5m,1 stop,No info,160.281
1924,IndiGo,Kolkata,Banglore,15/06/2019,09:35,2h 35m,non-stop,No info,62.084
1925,Jet Airways,Kolkata,Banglore,9/06/2019,06:30,22h 10m,1 stop,In-flight meal not included,106.293
1926,Jet Airways,Kolkata,Banglore,9/06/2019,14:05,9h 30m,1 stop,No info,160.281
1927,SpiceJet,Banglore,Delhi,9/06/2019,21:10,2h 55m,non-stop,No info,43.681
1928,Jet Airways,Delhi,Cochin,6/03/2019,09:00,9h 50m,1 stop,No info,187.264
1929,SpiceJet,Kolkata,Banglore,15/05/2019,17:10,2h 30m,non-stop,No check-in baggage included,42.251
1930,Jet Airways,Delhi,Cochin,27/05/2019,19:45,23h 15m,1 stop,In-flight meal not included,141.878
1931,Jet Airways,Delhi,Cochin,6/06/2019,14:35,13h 50m,2 stops,No info,147.136
1932,Jet Airways,Delhi,Cochin,15/06/2019,21:25,15h 10m,2 stops,In-flight meal not included,108.955
1933,Multiple carriers,Delhi,Cochin,15/06/2019,08:00,13h,1 stop,No info,149.457
1934,Multiple carriers,Delhi,Cochin,24/06/2019,06:00,15h,1 stop,No info,85.14
1935,Multiple carriers,Delhi,Cochin,21/05/2019,06:00,6h 35m,1 stop,No info,107.734
1936,Jet Airways,Banglore,New Delhi,06/03/2019,22:50,22h 30m,1 stop,No info,192.181
1937,Jet Airways,Delhi,Cochin,9/03/2019,13:45,14h 40m,2 stops,In-flight meal not included,166.419
1938,Jet Airways,Kolkata,Banglore,1/05/2019,09:35,28h 50m,1 stop,No info,126.137
1939,Air India,Kolkata,Banglore,12/06/2019,14:35,24h,1 stop,No info,71.808
1940,Multiple carriers,Delhi,Cochin,27/06/2019,07:30,11h 45m,1 stop,No info,90.926
1941,IndiGo,Delhi,Cochin,6/03/2019,06:40,15h 40m,1 stop,No info,70.862
1942,Jet Airways,Delhi,Cochin,12/06/2019,22:50,13h 45m,1 stop,In-flight meal not included,112.882
1943,Jet Airways,Mumbai,Hyderabad,1/03/2019,07:10,1h 25m,non-stop,No info,192.511
1944,Air India,Banglore,Delhi,24/05/2019,06:10,2h 45m,non-stop,No info,91.003
1945,Air India,Delhi,Cochin,21/03/2019,18:30,24h 45m,2 stops,No info,117.733
1946,Multiple carriers,Delhi,Cochin,15/06/2019,10:00,15h 30m,1 stop,No info,93.61
1947,IndiGo,Mumbai,Hyderabad,15/03/2019,20:05,1h 30m,non-stop,No info,30.294
1948,IndiGo,Mumbai,Hyderabad,18/05/2019,21:20,1h 30m,non-stop,No info,24.497
1949,Multiple carriers,Delhi,Cochin,27/06/2019,17:50,7h 40m,2 stops,No info,201.025
1950,SpiceJet,Delhi,Cochin,21/04/2019,08:45,4h 30m,1 stop,No check-in baggage included,69.916
1951,Jet Airways,Kolkata,Banglore,15/05/2019,14:05,6h 40m,1 stop,No info,162.591
1952,Jet Airways,Delhi,Cochin,27/05/2019,09:40,26h 55m,2 stops,In-flight meal not included,143.319
1953,GoAir,Banglore,Delhi,1/05/2019,11:40,2h 50m,non-stop,No info,47.74
1954,Air India,Kolkata,Banglore,12/06/2019,17:30,20h 15m,2 stops,No info,134.464
1955,Jet Airways,Kolkata,Banglore,24/05/2019,16:30,25h 45m,1 stop,In-flight meal not included,119.284
1956,IndiGo,Kolkata,Banglore,15/04/2019,09:35,2h 45m,non-stop,No info,45.914
1957,Air India,Banglore,New Delhi,01/03/2019,17:00,29h 55m,2 stops,No info,163.757
1958,Multiple carriers,Delhi,Cochin,9/04/2019,09:00,10h 15m,1 stop,No info,141.383
1959,Air Asia,Banglore,Delhi,15/05/2019,11:10,2h 45m,non-stop,No info,37.213
1960,GoAir,Banglore,New Delhi,01/03/2019,11:40,2h 55m,non-stop,No info,122.221
1961,Jet Airways,Banglore,Delhi,1/04/2019,17:45,3h,non-stop,No info,79.519
1962,Jet Airways,Banglore,Delhi,6/05/2019,17:45,3h,non-stop,In-flight meal not included,44.33
1963,IndiGo,Delhi,Cochin,3/03/2019,15:00,10h 35m,1 stop,No info,163.581
1964,Jet Airways,Delhi,Cochin,27/05/2019,19:45,8h 40m,1 stop,In-flight meal not included,141.878
1965,Multiple carriers,Delhi,Cochin,18/05/2019,11:30,7h 45m,1 stop,No info,159.863
1966,Air India,Delhi,Cochin,6/06/2019,17:40,14h 35m,1 stop,No info,79.838
1967,SpiceJet,Delhi,Cochin,1/04/2019,08:45,4h 30m,1 stop,No info,52.932
1968,Jet Airways,Kolkata,Banglore,9/05/2019,09:35,11h 30m,1 stop,In-flight meal not included,136.224
1969,Air India,Delhi,Cochin,6/06/2019,12:00,19h 40m,2 stops,No info,94.633
1970,Air India,Delhi,Cochin,6/06/2019,12:00,7h 15m,2 stops,No info,94.633
1971,Jet Airways,Kolkata,Banglore,24/03/2019,13:55,9h 30m,1 stop,No info,156.541
1972,Jet Airways,Delhi,Cochin,9/05/2019,23:05,29h 20m,2 stops,No info,166.419
1973,Air Asia,Delhi,Cochin,1/06/2019,20:45,10h 25m,1 stop,No info,125.51
1974,Air India,Banglore,New Delhi,12/03/2019,08:50,24h 35m,2 stops,No info,139.975
1975,Jet Airways,Delhi,Cochin,9/06/2019,09:35,27h,2 stops,No info,146.212
1976,SpiceJet,Kolkata,Banglore,24/04/2019,06:55,2h 35m,non-stop,No info,42.603
