Airline,Source,Destination,Date_of_Journey,Dep_Time,Duration,Total_Stops,Additional_Info,Price_in_Euro
Air India,Delhi,Cochin,21/03/2019,06:10,16h 50m,1 stop,No info,62.744
IndiGo,Kolkata,Banglore,21/05/2019,16:35,5h 40m,1 stop,No info,57.948
GoAir,Banglore,Delhi,6/06/2019,11:40,2h 50m,non-stop,No info,42.878
SpiceJet,Kolkata,Banglore,15/03/2019,09:00,2h 30m,non-stop,No info,42.317
Multiple carriers,Delhi,Cochin,12/06/2019,07:30,11h 30m,1 stop,No info,119.647
Multiple carriers,Delhi,Cochin,9/04/2019,08:45,10h 30m,1 stop,No info,92.081
Multiple carriers,Delhi,Cochin,6/06/2019,07:10,15h 20m,1 stop,No info,77.418
Jet Airways,Kolkata,Banglore,9/06/2019,06:30,9h 50m,1 stop,No info,160.281
Jet Airways,Kolkata,Banglore,9/06/2019,20:00,13h 20m,1 stop,In-flight meal not included,130.251
Jet Airways,Delhi,Cochin,18/05/2019,13:25,23h 10m,2 stops,No info,166.419
SpiceJet,Kolkata,Banglore,15/06/2019,22:20,2h 20m,non-stop,No check-in baggage included,42.251
Jet Airways,Delhi,Cochin,24/06/2019,11:30,25h 5m,1 stop,In-flight meal not included,112.882
Air India,Kolkata,Banglore,6/04/2019,20:45,2h 35m,non-stop,No info,49.060
IndiGo,Banglore,New Delhi,03/03/2019,18:25,2h 55m,non-stop,No info,84.128
Vistara,Kolkata,Banglore,6/06/2019,07:10,13h 10m,1 stop,No info,94.710
IndiGo,Chennai,Kolkata,18/06/2019,13:15,2h 20m,non-stop,No info,39.567
IndiGo,Delhi,Cochin,24/06/2019,07:35,8h 35m,1 stop,No info,70.862
IndiGo,Delhi,Cochin,9/03/2019,06:40,14h 20m,1 stop,No info,135.861
Multiple carriers,Delhi,Cochin,21/05/2019,17:30,8h,1 stop,No info,154.737
IndiGo,Banglore,Delhi,15/05/2019,20:00,2h 50m,non-stop,No info,53.053
Vistara,Kolkata,Banglore,24/03/2019,17:00,29h 10m,1 stop,No info,133.122
Jet Airways,Mumbai,Hyderabad,24/05/2019,07:05,1h 25m,non-stop,No info,88.440
IndiGo,Banglore,New Delhi,03/03/2019,10:05,2h 55m,non-stop,No info,84.128
IndiGo,Delhi,Cochin,9/05/2019,02:00,5h 25m,1 stop,No info,72.402
Vistara,Banglore,Delhi,12/06/2019,11:30,2h 50m,non-stop,No info,51.348
IndiGo,Banglore,Delhi,1/04/2019,20:00,2h 50m,non-stop,No info,53.053
SpiceJet,Kolkata,Banglore,1/05/2019,22:20,2h 20m,non-stop,No info,42.603
Multiple carriers,Delhi,Cochin,18/05/2019,10:20,8h 55m,1 stop,No info,93.236
IndiGo,Delhi,Cochin,27/05/2019,07:15,5h 15m,1 stop,No info,61.996
Jet Airways,Kolkata,Banglore,12/05/2019,08:25,11h 25m,1 stop,In-flight meal not included,94.446
IndiGo,Banglore,Delhi,6/06/2019,18:25,2h 55m,non-stop,No info,53.053
Air India,Delhi,Cochin,6/03/2019,05:10,2h 50m,non-stop,No info,75.691
Jet Airways,Kolkata,Banglore,9/05/2019,14:05,8h 30m,1 stop,In-flight meal not included,119.284
IndiGo,Kolkata,Banglore,24/04/2019,19:35,3h 40m,1 stop,No info,46.486
Jet Airways,Delhi,Cochin,9/05/2019,19:15,23h 45m,1 stop,In-flight meal not included,136.103
Air India,Kolkata,Banglore,6/06/2019,08:20,13h 30m,2 stops,No info,117.667
Jet Airways,Mumbai,Hyderabad,3/06/2019,10:20,1h 30m,non-stop,In-flight meal not included,54.945
Air India,Delhi,Cochin,24/06/2019,16:40,26h 35m,2 stops,No info,103.873
Jet Airways,Delhi,Cochin,18/05/2019,05:30,22h 55m,2 stops,In-flight meal not included,143.319
Jet Airways,Delhi,Cochin,21/03/2019,18:25,34h,2 stops,No info,135.817
Multiple carriers,Delhi,Cochin,9/06/2019,13:00,8h,1 stop,No info,81.488
Jet Airways,Kolkata,Banglore,1/04/2019,18:55,14h 25m,1 stop,In-flight meal not included,77.704
Jet Airways,Delhi,Cochin,6/03/2019,13:00,15h 25m,1 stop,In-flight meal not included,152.273
IndiGo,Kolkata,Banglore,12/04/2019,15:30,2h 35m,non-stop,No info,45.914
Multiple carriers,Delhi,Cochin,15/05/2019,11:35,9h 25m,3 stops,No info,179.234
SpiceJet,Kolkata,Banglore,18/05/2019,06:55,2h 35m,non-stop,No check-in baggage included,42.251
IndiGo,Banglore,Delhi,15/06/2019,04:00,2h 50m,non-stop,No info,48.653
Air India,Delhi,Cochin,12/06/2019,05:10,2h 50m,non-stop,No info,57.211
Air India,Banglore,New Delhi,03/03/2019,06:45,28h 25m,2 stops,No info,138.589
IndiGo,Mumbai,Hyderabad,21/05/2019,06:25,1h 30m,non-stop,No info,44.539
Air India,Kolkata,Banglore,24/05/2019,09:25,25h 5m,2 stops,No info,140.767
Jet Airways,Kolkata,Banglore,24/05/2019,20:25,14h 30m,1 stop,No info,143.737
Vistara,Kolkata,Banglore,24/05/2019,20:20,22h 30m,1 stop,No info,102.795
IndiGo,Delhi,Cochin,21/05/2019,05:05,7h 5m,1 stop,No info,74.998
Jet Airways,Mumbai,Hyderabad,3/05/2019,10:20,1h 30m,non-stop,No info,88.440
Jet Airways,Delhi,Cochin,12/06/2019,18:20,18h 15m,2 stops,No info,157.300
Multiple carriers,Delhi,Cochin,15/05/2019,18:15,7h 15m,1 stop,No info,150.997
Jet Airways,Banglore,New Delhi,21/03/2019,16:55,17h 30m,1 stop,In-flight meal not included,86.152
Multiple carriers,Delhi,Cochin,9/03/2019,04:00,8h 55m,1 stop,No info,178.849
IndiGo,Banglore,Delhi,27/06/2019,08:30,2h 50m,non-stop,No info,53.053
Jet Airways,Banglore,New Delhi,06/03/2019,11:40,20h 35m,1 stop,No info,184.096
Air India,Kolkata,Banglore,6/06/2019,09:25,20h,2 stops,No info,145.387
Multiple carriers,Delhi,Cochin,27/03/2019,12:50,8h 10m,1 stop,No info,73.007
Jet Airways,Kolkata,Banglore,9/06/2019,18:55,17h 5m,1 stop,In-flight meal not included,119.284
Multiple carriers,Delhi,Cochin,21/03/2019,10:00,9h 15m,1 stop,In-flight meal not included,92.411
SpiceJet,Kolkata,Banglore,12/04/2019,09:00,2h 25m,non-stop,No info,42.603
Jet Airways,Delhi,Cochin,24/06/2019,20:00,8h 25m,2 stops,In-flight meal not included,136.510
Jet Airways,Delhi,Cochin,18/05/2019,23:05,13h 30m,2 stops,No info,166.419
IndiGo,Banglore,Delhi,1/05/2019,13:00,2h 50m,non-stop,No info,48.653
Jet Airways,Delhi,Cochin,27/05/2019,13:00,6h,1 stop,No info,176.869
Air India,Kolkata,Banglore,6/06/2019,14:30,18h 25m,2 stops,No info,174.834
Multiple carriers,Delhi,Cochin,15/05/2019,04:55,14h 5m,1 stop,No info,100.133
Air India,Delhi,Cochin,12/06/2019,09:45,22h 30m,1 stop,No info,98.901
Air India,Kolkata,Banglore,1/04/2019,16:50,25h 30m,2 stops,No info,86.823
IndiGo,Mumbai,Hyderabad,3/03/2019,02:30,1h 30m,non-stop,No info,50.325
SpiceJet,Kolkata,Banglore,3/05/2019,09:00,2h 25m,non-stop,No info,42.603
Jet Airways,Banglore,New Delhi,21/03/2019,05:45,15h 35m,1 stop,In-flight meal not included,86.152
IndiGo,Chennai,Kolkata,1/05/2019,14:45,2h 20m,non-stop,No info,39.567
Jet Airways,Kolkata,Banglore,24/03/2019,21:10,26h 15m,1 stop,No info,151.349
Jet Airways,Banglore,Delhi,27/05/2019,18:55,3h 5m,non-stop,No info,79.519
SpiceJet,Kolkata,Banglore,15/04/2019,06:55,2h 35m,non-stop,No info,42.603
Multiple carriers,Delhi,Cochin,15/05/2019,06:00,13h,1 stop,No info,107.734
Air India,Delhi,Cochin,27/03/2019,13:30,18h 45m,1 stop,No info,73.491
IndiGo,Banglore,Delhi,21/04/2019,21:15,3h,non-stop,No info,48.653
Jet Airways,Kolkata,Banglore,15/05/2019,08:25,11h 25m,1 stop,In-flight meal not included,119.284
IndiGo,Delhi,Cochin,1/06/2019,09:15,11h 45m,1 stop,No info,79.838
Jet Airways,Mumbai,Hyderabad,12/06/2019,10:20,1h 30m,non-stop,In-flight meal not included,54.945
Jet Airways,Delhi,Cochin,9/06/2019,20:55,22h 5m,1 stop,No info,164.164
Vistara,Banglore,New Delhi,15/03/2019,06:40,27h 45m,1 stop,No info,72.490
Jet Airways,Delhi,Cochin,3/06/2019,20:55,15h 40m,1 stop,In-flight meal not included,112.882
SpiceJet,Kolkata,Banglore,9/03/2019,09:00,2h 30m,non-stop,No info,60.665
Jet Airways,Delhi,Cochin,27/03/2019,19:10,24h 35m,2 stops,In-flight meal not included,73.073
IndiGo,Mumbai,Hyderabad,24/06/2019,19:05,1h 30m,non-stop,No info,30.294
IndiGo,Delhi,Cochin,9/06/2019,17:05,5h 10m,1 stop,No info,71.423
IndiGo,Kolkata,Banglore,24/05/2019,18:05,5h 25m,1 stop,No info,68.398
Air India,Delhi,Cochin,6/06/2019,05:55,13h 20m,2 stops,No info,119.471
IndiGo,Delhi,Cochin,6/03/2019,07:35,8h 35m,1 stop,No info,78.034
SpiceJet,Mumbai,Hyderabad,24/03/2019,22:45,1h 25m,non-stop,No info,24.497
Jet Airways,Banglore,Delhi,21/04/2019,19:50,3h,non-stop,In-flight meal not included,49.984
Air India,Banglore,New Delhi,21/03/2019,05:50,10h 30m,2 stops,No info,84.304
Jet Airways,Banglore,Delhi,27/06/2019,17:45,3h,non-stop,No info,88.176
Air Asia,Kolkata,Banglore,27/05/2019,22:50,2h 30m,non-stop,No info,41.877
Air India,Delhi,Cochin,3/06/2019,07:10,12h 5m,2 stops,No info,139.678
Jet Airways,Kolkata,Banglore,24/05/2019,06:30,22h 10m,1 stop,In-flight meal not included,94.446
Jet Airways,Kolkata,Banglore,1/04/2019,06:30,22h 10m,1 stop,In-flight meal not included,77.704
IndiGo,Delhi,Cochin,9/06/2019,05:35,3h 15m,non-stop,No info,61.611
SpiceJet,Delhi,Cochin,21/05/2019,15:45,6h 20m,1 stop,No info,80.487
Air India,Kolkata,Banglore,6/05/2019,10:00,24h 30m,3 stops,No info,140.767
IndiGo,Kolkata,Banglore,6/04/2019,06:15,4h 15m,1 stop,No info,46.486
Jet Airways,Kolkata,Banglore,12/05/2019,17:00,6h 35m,1 stop,No info,155.661
IndiGo,Delhi,Cochin,27/03/2019,10:45,14h 50m,1 stop,No info,72.908
IndiGo,Banglore,New Delhi,09/03/2019,04:00,2h 50m,non-stop,No info,88.363
Multiple carriers,Delhi,Cochin,1/06/2019,10:35,8h 25m,1 stop,No info,123.200
IndiGo,Kolkata,Banglore,24/06/2019,15:30,2h 35m,non-stop,No info,52.844
Air Asia,Kolkata,Banglore,12/06/2019,22:40,12h,1 stop,No info,57.112
Jet Airways,Delhi,Cochin,12/06/2019,09:40,18h 45m,2 stops,No info,143.154
Jet Airways,Kolkata,Banglore,21/05/2019,21:10,25h 25m,1 stop,In-flight meal not included,119.284
Multiple carriers,Delhi,Cochin,6/03/2019,07:00,8h 30m,1 stop,No info,171.633
GoAir,Banglore,Delhi,3/04/2019,07:45,2h 55m,non-stop,No info,46.629
Jet Airways,Kolkata,Banglore,12/06/2019,14:05,20h,1 stop,No info,143.484
Jet Airways,Delhi,Cochin,27/05/2019,18:15,24h 45m,1 stop,In-flight meal not included,141.878
SpiceJet,Kolkata,Banglore,1/04/2019,08:35,8h 40m,1 stop,No info,66.143
Jet Airways,Kolkata,Banglore,6/05/2019,16:30,6h 5m,1 stop,No info,162.591
Jet Airways,Delhi,Cochin,21/03/2019,17:30,10h 55m,1 stop,No info,138.127
Multiple carriers,Delhi,Cochin,6/03/2019,04:45,14h 5m,1 stop,No info,152.625
Jet Airways,Delhi,Cochin,15/06/2019,09:35,18h 50m,2 stops,In-flight meal not included,126.577
Air India,Kolkata,Banglore,18/06/2019,14:15,2h 30m,non-stop,No info,60.610
GoAir,Kolkata,Banglore,24/03/2019,16:25,7h 40m,1 stop,No info,112.178
Jet Airways,Kolkata,Banglore,12/06/2019,10:20,7h 15m,1 stop,No info,91.905
Jet Airways,Banglore,Delhi,1/06/2019,18:55,3h 5m,non-stop,No info,88.176
IndiGo,Delhi,Cochin,27/05/2019,10:35,10h 25m,1 stop,No info,69.454
Air India,Delhi,Cochin,9/03/2019,05:10,2h 50m,non-stop,No info,64.141
Jet Airways,Delhi,Cochin,24/06/2019,19:15,9h 10m,1 stop,In-flight meal not included,112.882
Multiple carriers,Delhi,Cochin,6/03/2019,13:55,11h 40m,1 stop,In-flight meal not included,166.496
Jet Airways,Banglore,New Delhi,21/03/2019,20:35,13h 50m,1 stop,In-flight meal not included,86.152
SpiceJet,Chennai,Kolkata,24/03/2019,08:20,2h 15m,non-stop,No info,42.449
IndiGo,Kolkata,Banglore,6/04/2019,15:15,2h 30m,non-stop,No info,45.914
Jet Airways,Banglore,New Delhi,06/03/2019,05:45,5h 40m,1 stop,No info,211.475
IndiGo,Delhi,Cochin,9/03/2019,04:45,16h 15m,1 stop,No info,115.698
IndiGo,Banglore,Delhi,6/04/2019,07:10,2h 55m,non-stop,No info,53.053
Air India,Banglore,New Delhi,24/03/2019,10:00,2h 45m,non-stop,No info,80.036
Multiple carriers,Delhi,Cochin,9/06/2019,10:00,9h,1 stop,No info,134.112
Air Asia,Delhi,Cochin,1/06/2019,16:45,14h 25m,1 stop,No info,125.510
Air India,Kolkata,Banglore,21/05/2019,10:00,15h 20m,2 stops,No info,143.363
Jet Airways,Banglore,New Delhi,01/03/2019,05:45,9h 30m,1 stop,No info,295.790
IndiGo,Kolkata,Banglore,27/06/2019,15:15,2h 30m,non-stop,No info,52.844
Jet Airways,Kolkata,Banglore,15/05/2019,18:55,25h 50m,1 stop,In-flight meal not included,119.284
Air India,Delhi,Cochin,12/06/2019,12:55,30h 20m,2 stops,No info,136.796
IndiGo,Banglore,Delhi,21/06/2019,07:10,2h 55m,non-stop,No info,53.053
IndiGo,Mumbai,Hyderabad,3/06/2019,21:20,1h 30m,non-stop,No info,24.497
Jet Airways,Delhi,Cochin,1/06/2019,20:55,15h 40m,1 stop,In-flight meal not included,112.882
Jet Airways,Delhi,Cochin,3/03/2019,08:00,20h 25m,1 stop,No info,187.264
Jet Airways,Delhi,Cochin,27/03/2019,06:20,22h 5m,2 stops,In-flight meal not included,102.256
Air India,Delhi,Cochin,6/06/2019,18:05,3h 5m,non-stop,No info,67.034
Jet Airways,Kolkata,Banglore,9/06/2019,08:25,20h 15m,1 stop,In-flight meal not included,94.446
Jet Airways,Delhi,Cochin,15/06/2019,06:45,21h 40m,2 stops,In-flight meal not included,120.109
GoAir,Kolkata,Banglore,9/06/2019,16:40,7h 35m,1 stop,No info,104.445
Jet Airways,Delhi,Cochin,12/06/2019,21:50,6h 35m,1 stop,No info,161.854
Air India,Delhi,Cochin,24/06/2019,14:10,3h,non-stop,No info,57.211
Air India,Delhi,Cochin,27/03/2019,09:45,23h 40m,2 stops,No info,77.990
IndiGo,Mumbai,Hyderabad,15/05/2019,09:10,1h 30m,non-stop,No info,50.325
Multiple carriers,Delhi,Cochin,15/05/2019,07:05,9h 5m,1 stop,No info,106.106
IndiGo,Delhi,Cochin,12/06/2019,02:00,5h 25m,1 stop,No info,61.996
Multiple carriers,Delhi,Cochin,15/06/2019,07:05,9h 5m,1 stop,No info,106.106
Jet Airways,Mumbai,Hyderabad,9/03/2019,19:40,1h 30m,non-stop,In-flight meal not included,44.550
Jet Airways,Delhi,Cochin,9/06/2019,21:50,21h 10m,1 stop,No info,161.854
IndiGo,Kolkata,Banglore,18/06/2019,15:15,2h 30m,non-stop,No info,52.844
Jet Airways,Delhi,Cochin,9/06/2019,18:15,24h 45m,1 stop,In-flight meal not included,116.347
GoAir,Banglore,Delhi,15/06/2019,20:55,2h 45m,non-stop,No info,42.878
Jet Airways,Kolkata,Banglore,6/06/2019,20:00,16h,1 stop,No info,160.281
Jet Airways,Delhi,Cochin,15/06/2019,06:45,21h 40m,2 stops,In-flight meal not included,120.109
Jet Airways,Banglore,Delhi,18/06/2019,06:00,2h 45m,non-stop,No info,88.176
IndiGo,Delhi,Cochin,21/03/2019,04:55,7h 5m,1 stop,No info,69.157
Air India,Kolkata,Banglore,6/06/2019,16:50,15h 5m,1 stop,No info,92.026
Jet Airways,Delhi,Cochin,6/03/2019,11:30,7h 20m,1 stop,In-flight meal not included,169.400
Vistara,Banglore,New Delhi,03/03/2019,19:40,2h 40m,non-stop,No info,94.083
SpiceJet,Kolkata,Banglore,9/04/2019,06:55,2h 35m,non-stop,No check-in baggage included,42.251
Air India,Delhi,Cochin,9/04/2019,05:55,25h 45m,2 stops,No info,110.231
SpiceJet,Chennai,Kolkata,24/06/2019,17:45,2h 20m,non-stop,No info,39.567
IndiGo,Chennai,Kolkata,24/05/2019,11:35,2h 25m,non-stop,No info,47.652
GoAir,Banglore,Delhi,21/06/2019,20:55,2h 45m,non-stop,No info,42.878
Jet Airways,Mumbai,Hyderabad,6/03/2019,13:05,27h 45m,2 stops,No info,235.125
Vistara,Kolkata,Banglore,6/06/2019,07:10,16h 15m,1 stop,No info,94.710
IndiGo,Kolkata,Banglore,15/06/2019,17:15,2h 35m,non-stop,No info,52.844
Air India,Delhi,Cochin,1/06/2019,14:25,28h 50m,2 stops,No info,149.501
Jet Airways,Kolkata,Banglore,6/05/2019,06:30,9h 50m,1 stop,No info,162.591
Jet Airways,Banglore,New Delhi,15/03/2019,08:00,5h 15m,1 stop,In-flight meal not included,100.474
Air India,Delhi,Cochin,9/06/2019,05:55,25h 45m,2 stops,No info,115.423
Jet Airways,Banglore,New Delhi,24/03/2019,11:40,21h 20m,1 stop,In-flight meal not included,89.617
SpiceJet,Kolkata,Banglore,21/06/2019,22:20,2h 20m,non-stop,No info,42.603
Jet Airways,Kolkata,Banglore,9/06/2019,18:55,17h 5m,1 stop,No info,160.281
Air India,Banglore,New Delhi,03/03/2019,10:30,10h 55m,2 stops,No info,121.033
Jet Airways,Delhi,Cochin,3/06/2019,19:15,9h 10m,1 stop,In-flight meal not included,112.882
Jet Airways,Delhi,Cochin,21/03/2019,02:15,16h 35m,1 stop,No info,139.909
Jet Airways,Delhi,Cochin,24/06/2019,20:55,22h 5m,1 stop,In-flight meal not included,112.882
Air India,Banglore,Delhi,21/06/2019,17:00,2h 45m,non-stop,No info,78.881
SpiceJet,Banglore,Delhi,27/04/2019,05:55,2h 40m,non-stop,No info,48.653
Multiple carriers,Delhi,Cochin,9/03/2019,17:25,8h 10m,1 stop,In-flight meal not included,138.776
Air India,Delhi,Cochin,1/06/2019,17:15,26h,2 stops,No info,142.670
Jet Airways,Kolkata,Banglore,24/03/2019,21:10,12h 55m,1 stop,No info,164.054
Jet Airways,Mumbai,Hyderabad,6/05/2019,02:55,1h 25m,non-stop,In-flight meal not included,35.310
GoAir,Banglore,Delhi,21/04/2019,07:45,2h 55m,non-stop,No info,50.952
Jet Airways,Delhi,Cochin,9/05/2019,17:30,10h 55m,1 stop,In-flight meal not included,136.103
IndiGo,Kolkata,Banglore,15/06/2019,14:25,2h 30m,non-stop,No info,52.844
Multiple carriers,Delhi,Cochin,3/03/2019,11:35,9h 25m,3 stops,No info,240.119
Multiple carriers,Delhi,Cochin,1/06/2019,08:00,13h,1 stop,No info,149.457
Jet Airways,Delhi,Cochin,27/06/2019,23:05,29h 20m,2 stops,No info,141.009
Air Asia,Delhi,Cochin,27/03/2019,20:10,11h,1 stop,No info,67.661
Jet Airways,Banglore,Delhi,1/06/2019,15:15,2h 55m,non-stop,No info,88.176
Multiple carriers,Delhi,Cochin,6/03/2019,07:30,11h 20m,1 stop,No info,166.485
IndiGo,Delhi,Cochin,21/05/2019,17:10,8h 20m,1 stop,No info,74.734
Vistara,Kolkata,Banglore,15/05/2019,17:00,27h 20m,1 stop,No info,94.710
Air India,Kolkata,Banglore,18/05/2019,05:50,30h 40m,2 stops,No info,139.953
Air India,Kolkata,Banglore,6/06/2019,12:00,25h 15m,1 stop,No info,84.282
Multiple carriers,Delhi,Cochin,9/03/2019,17:00,8h 35m,1 stop,No info,157.773
Multiple carriers,Delhi,Cochin,1/06/2019,10:20,15h 10m,1 stop,No info,74.745
SpiceJet,Kolkata,Banglore,9/05/2019,22:20,2h 20m,non-stop,No info,42.603
IndiGo,Mumbai,Hyderabad,12/06/2019,19:05,1h 30m,non-stop,No info,30.294
Air India,Mumbai,Hyderabad,6/03/2019,06:10,15h 5m,1 stop,No info,183.326
Multiple carriers,Delhi,Cochin,1/06/2019,04:55,7h 40m,1 stop,No info,122.078
Jet Airways,Kolkata,Banglore,9/06/2019,17:00,29h 5m,1 stop,In-flight meal not included,115.929
Air India,Delhi,Cochin,27/05/2019,07:00,12h 15m,1 stop,No info,109.219
Jet Airways,Kolkata,Banglore,12/05/2019,16:30,23h 50m,1 stop,In-flight meal not included,119.284
Jet Airways,Kolkata,Banglore,6/06/2019,09:35,28h 50m,1 stop,No info,139.612
Jet Airways,Delhi,Cochin,21/03/2019,20:50,7h 35m,1 stop,In-flight meal not included,101.332
Multiple carriers,Delhi,Cochin,15/05/2019,15:00,10h 30m,1 stop,No info,150.997
Air Asia,Banglore,Delhi,15/06/2019,04:55,2h 50m,non-stop,No info,47.102
Jet Airways,Kolkata,Banglore,24/05/2019,18:55,21h 25m,1 stop,In-flight meal not included,119.284
Air India,Delhi,Cochin,27/06/2019,17:20,16h 5m,1 stop,No info,82.280
IndiGo,Banglore,Delhi,1/05/2019,16:55,3h,non-stop,No info,53.053
Jet Airways,Delhi,Cochin,18/05/2019,22:50,13h 45m,1 stop,In-flight meal not included,136.103
Multiple carriers,Delhi,Cochin,21/03/2019,11:40,9h 20m,1 stop,No info,79.365
Air India,Delhi,Cochin,9/05/2019,06:05,27h 20m,1 stop,No info,82.280
Multiple carriers,Delhi,Cochin,24/06/2019,09:00,12h,1 stop,No info,89.573
IndiGo,Banglore,Delhi,3/05/2019,18:25,2h 55m,non-stop,No info,53.053
Jet Airways,Kolkata,Banglore,6/06/2019,20:00,12h 15m,1 stop,In-flight meal not included,119.284
SpiceJet,Banglore,Delhi,12/04/2019,21:10,2h 55m,non-stop,No info,61.831
Vistara,Kolkata,Banglore,18/05/2019,20:20,24h,1 stop,No info,105.105
IndiGo,Banglore,New Delhi,21/03/2019,01:30,2h 45m,non-stop,No info,52.547
SpiceJet,Banglore,New Delhi,03/03/2019,09:35,2h 55m,non-stop,No info,84.128
IndiGo,Kolkata,Banglore,1/04/2019,09:20,4h 55m,1 stop,No info,113.388
Jet Airways,Delhi,Cochin,24/05/2019,11:40,7h 20m,2 stops,No info,233.409
IndiGo,Kolkata,Banglore,6/05/2019,09:20,4h 55m,1 stop,No info,124.509
Jet Airways,Kolkata,Banglore,15/05/2019,21:10,23h 35m,1 stop,In-flight meal not included,119.284
Multiple carriers,Delhi,Cochin,9/05/2019,18:15,7h 15m,1 stop,No info,165.858
SpiceJet,Mumbai,Hyderabad,1/05/2019,22:45,1h 30m,non-stop,No info,22.187
Air Asia,Kolkata,Banglore,1/06/2019,22:50,2h 30m,non-stop,No info,48.499
IndiGo,Delhi,Cochin,9/06/2019,07:35,4h 35m,1 stop,No info,55.594
Air India,Banglore,New Delhi,15/03/2019,05:50,16h 20m,2 stops,No info,111.221
SpiceJet,Banglore,New Delhi,18/03/2019,20:30,2h 50m,non-stop,No check-in baggage included,47.003
Jet Airways,Delhi,Cochin,21/03/2019,13:55,28h 55m,2 stops,In-flight meal not included,96.008
Air India,Kolkata,Banglore,24/05/2019,16:50,15h 5m,1 stop,No info,94.336
Jet Airways,Banglore,Delhi,3/06/2019,17:45,3h,non-stop,No info,88.176
Jet Airways,Banglore,Delhi,9/06/2019,15:15,2h 55m,non-stop,No info,88.176
Jet Airways,Kolkata,Banglore,18/05/2019,20:25,27h 10m,1 stop,No info,155.661
IndiGo,Banglore,Delhi,15/04/2019,06:05,2h 45m,non-stop,No info,48.653
Jet Airways,Mumbai,Hyderabad,15/06/2019,07:05,1h 25m,non-stop,In-flight meal not included,44.550
Jet Airways,Kolkata,Banglore,6/05/2019,14:05,5h 45m,1 stop,No info,162.591
Jet Airways,Kolkata,Banglore,15/05/2019,20:00,12h 15m,1 stop,In-flight meal not included,94.446
Air Asia,Kolkata,Banglore,21/05/2019,19:55,3h 35m,1 stop,No info,56.782
Jet Airways,Kolkata,Banglore,9/06/2019,21:10,7h 30m,1 stop,No info,151.041
Jet Airways,Delhi,Cochin,21/03/2019,13:00,15h 25m,1 stop,In-flight meal not included,81.818
Jet Airways,Kolkata,Banglore,15/05/2019,09:35,25h 20m,1 stop,No info,155.661
Vistara,Banglore,Delhi,12/04/2019,21:00,2h 50m,non-stop,No info,61.743
IndiGo,Kolkata,Banglore,15/05/2019,15:15,4h 50m,1 stop,No info,59.180
Jet Airways,Delhi,Cochin,21/03/2019,11:30,16h 55m,1 stop,In-flight meal not included,81.818
Multiple carriers,Delhi,Cochin,1/06/2019,07:05,15h 25m,1 stop,No info,106.106
Air Asia,Delhi,Cochin,15/05/2019,20:45,10h 25m,1 stop,No info,75.383
Jet Airways,Banglore,New Delhi,18/03/2019,14:05,6h 15m,1 stop,No info,149.105
IndiGo,Delhi,Cochin,15/06/2019,17:30,8h,1 stop,No info,64.713
IndiGo,Delhi,Cochin,9/03/2019,04:55,7h 5m,1 stop,No info,67.881
IndiGo,Mumbai,Hyderabad,21/05/2019,16:55,1h 30m,non-stop,No info,34.925
IndiGo,Delhi,Cochin,27/03/2019,07:45,5h 55m,1 stop,No info,53.152
Multiple carriers,Delhi,Cochin,1/06/2019,16:00,9h 30m,1 stop,No info,147.147
Jet Airways,Delhi,Cochin,24/06/2019,19:45,8h 40m,1 stop,In-flight meal not included,112.882
Jet Airways,Delhi,Cochin,1/06/2019,18:15,18h 20m,1 stop,In-flight meal not included,112.882
Air India,Delhi,Cochin,18/05/2019,12:00,19h 40m,2 stops,No info,94.633
Jet Airways,Kolkata,Banglore,6/06/2019,06:30,22h 10m,1 stop,In-flight meal not included,94.446
Vistara,Kolkata,Banglore,21/05/2019,20:20,12h 45m,1 stop,No info,92.972
Jet Airways,Kolkata,Banglore,24/03/2019,18:55,23h 15m,1 stop,No info,156.541
Jet Airways,Delhi,Cochin,21/05/2019,08:00,11h,1 stop,No info,179.179
SpiceJet,Banglore,New Delhi,03/03/2019,09:35,2h 55m,non-stop,No info,75.460
IndiGo,Mumbai,Hyderabad,9/05/2019,02:35,1h 30m,non-stop,No info,30.294
Multiple carriers,Delhi,Cochin,9/06/2019,07:05,15h 25m,1 stop,No info,106.106
Air India,Chennai,Kolkata,27/05/2019,11:40,2h 15m,non-stop,No info,51.337
IndiGo,Kolkata,Banglore,21/04/2019,15:30,2h 35m,non-stop,No info,52.844
IndiGo,Banglore,New Delhi,09/03/2019,01:30,2h 45m,non-stop,No info,49.995
Jet Airways,Banglore,New Delhi,01/03/2019,22:50,21h 30m,1 stop,No info,283.085
Jet Airways,Delhi,Cochin,21/03/2019,05:30,22h 55m,2 stops,No info,139.117
Jet Airways,Kolkata,Banglore,1/05/2019,14:05,18h 10m,1 stop,In-flight meal not included,94.446
IndiGo,Chennai,Kolkata,9/06/2019,22:05,2h 20m,non-stop,No info,58.047
IndiGo,Delhi,Cochin,27/03/2019,11:30,14h 5m,1 stop,No info,68.266
Air Asia,Banglore,Delhi,12/04/2019,11:10,2h 45m,non-stop,No info,49.313
Vistara,Kolkata,Banglore,24/05/2019,17:00,25h 50m,1 stop,No info,108.570
SpiceJet,Kolkata,Banglore,27/06/2019,17:10,2h 30m,non-stop,No check-in baggage included,42.251
SpiceJet,Kolkata,Banglore,27/03/2019,09:00,2h 30m,non-stop,No check-in baggage included,41.965
